foods,calories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
´£©Ô¦ÌÄ¬/®³ÅK,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¦B®³ÅK,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¦B²N²O©@°Ø,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¦B¼¯¥d¥©§J¤O,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¸q¦¡­»¿@¥i¥i,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¸q¦¡­»¿@¥i¥i,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¸q¦¡¼¯¥d¥©§J¤O,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
©Ù¯ù¤û¥¤,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥i¥i¤û¥¤,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥i¤f¥i¼Ö,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
³·ºÑ,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
©Ù¯ù¦B²N²O,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­»¯ó¦B²N²O,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨§¼ß,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥i¼Ö,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¬h¾í¥Ä,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ä«ªG¦h¦h,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°^¤Y´ö,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
À_¶»´ö,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥É¦Ì¿@´ö,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
»Ä»¶´ö,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¬õ¿N´ö,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
©M­·¸q¤j§QÄÑ,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
²Mª£õl³½¾ñÆV­·°®µf­X¸q¤j§QÄÑ,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­X¥ÄÂû¦×¸q¤j§QÄÑ,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­ì¥Ä¾¥³½®üÂA¸q¤j§QÄÑ,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
³¥µæÂA½­¸q¤j§QÄÑ,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¸q¦¡»[»¶°ö®ÚÄÑ,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥¤ªo°ö®Ú¸q¤j§QÄÑ,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂA³½¸q¤j§QÄÑ,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
º¡ºÖ³J³ù,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­»Âû³J³ù,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂC³½³J³ù,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
·ÏÂtÂû¦×³J³ù,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ªáªK³J³ù,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨½¦Ù½Þ±Æ³J³ù,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂA½¼³J³ù,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
·Ó¿N½Þ¦×³J³ù,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Á`¶×º~³ù,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¯Ü¥ÖÂû±Æ³J³ù,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂÅ±a°_¥q½Þ±Æ³J³ù,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¶W«p¤û¦×°_¥q³J³ù,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¯N·Î³J¤T©úªv,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤õ»L³J¤T©úªv,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°_¥q³J¤T©úªv,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°ö®Ú³J¤T©úªv,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Á¦»æ³J¤T©úªv,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂC³½³J¤T©úªv,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨½¦Ù³J¤T©úªv,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
·Ó¿N½Þ¦×³J¤T©úªv,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¯Ü¥ÖÂû±Æ³J¤T©úªv,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
½Þ±ÆÁ`¶×¤T©úªv,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
®ü³°Á`¶×¤T©úªv,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¶Â­J´Ô¤û¦×¤T©úªv,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­ì¨ý³J»æ,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤E¼h¶ð³J»æ,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°_¥q³J»æ,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°ö®Ú³J»æ,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤õ»L³J»æ,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¼öª¯³J»æ,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
½­µæ³J»æ,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
º¡ºÖ³J»æ,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂC³½³J»æ,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨½¦Ù³J»æ,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­»¯NÂû¦×³ù,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¿N¯N¤û¦×³ù,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤õ»L³ù,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤õÂû¯Ý¦×³ù,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¸q¤j§Q¸g¨å³ù,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÂC³½³ù,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
½­µæ³ù,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤õÂû¤õ»L³ù,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ªiÅÚÄÑ¥],185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¬õ¨§ÄÑ¥],264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥¤¶pÄÑ¥],265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¥þ³Á®Ö®çÄÑ¥],352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¯ó²ùÄÑ¥],225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
­»»[ÄÑ¥],506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
·¦¤lÄÑ¥],226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¦R¥q,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¤pÀ\¥],70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¨©ªG,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
°_¥q¨©ªG,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÅÚ½³¿|/2¤ù,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Á¦»æ /2¤ù,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
µµ¦Ì¶ºÄ{,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
